RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30
394504,621,"Cortland, NY",msa,NY,,,,,,,,,,,,,,,,,,,,,,123601.0,123420.0,127474.0,130797.0,137810.0,138987.0,139923.0,141396.0,141018.0,141211.0,143822.0,145754.0,136298.0,131255.0,126546.0,141694.0,161116.0,170563.0,171104.0,159916.0,158334.0,153575.0,147779.0,150978.0,157594.0,165878.0,174636.0,179603.0,179409.0,166679.0,159396.0
394887,622,"Mount Sterling, KY",msa,KY,104920.0,120960.0,124653.0,124550.0,110634.0,105563.0,110046.0,122647.0,117065.0,118719.0,110691.0,126067.0,130784.0,138808.0,136690.0,123118.0,120619.0,119665.0,125806.0,135370.0,142472.0,144788.0,137102.0,133833.0,136633.0,129258.0,130418.0,130668.0,147991.0,151951.0,146957.0,138287.0,140794.0,159003.0,160795.0,155725.0,151170.0,149754.0,162256.0,159300.0,177419.0,168326.0,173839.0,167453.0,169499.0,169586.0,171729.0,180433.0,185157.0,183750.0,180382.0,177378.0
395208,623,"Washington, NC",msa,NC,157362.0,195994.0,208829.0,201486.0,173461.0,167285.0,169281.0,173616.0,172936.0,167451.0,161316.0,149135.0,168456.0,164755.0,183975.0,174028.0,187939.0,189484.0,209932.0,198202.0,198019.0,177793.0,193697.0,195365.0,211438.0,205534.0,202769.0,196451.0,192265.0,192604.0,193659.0,206653.0,207439.0,214915.0,211860.0,210780.0,212662.0,206692.0,215157.0,218445.0,236410.0,235826.0,233351.0,244820.0,245475.0,231843.0,216379.0,228545.0,256213.0,245909.0,239783.0,227625.0
394918,625,"Nogales, AZ",msa,AZ,165280.0,172201.0,171527.0,167559.0,178098.0,175351.0,178650.0,174220.0,172578.0,167143.0,158839.0,168292.0,177327.0,184744.0,184335.0,186748.0,203520.0,216428.0,223211.0,203001.0,197498.0,185426.0,190505.0,186753.0,198093.0,202572.0,205387.0,233264.0,255080.0,247017.0,219268.0,207391.0,235975.0,246022.0,257969.0,246289.0,249194.0,248263.0,255715.0,247147.0,250052.0,252095.0,272717.0,292785.0,322058.0,315626.0,292532.0,273944.0,276211.0,285769.0,279777.0,305800.0
753865,627,"Bardstown, KY",msa,KY,144279.0,149472.0,151533.0,164117.0,157979.0,155559.0,145437.0,148401.0,154418.0,158939.0,159725.0,155809.0,156894.0,165645.0,167216.0,172033.0,172422.0,173520.0,169386.0,164927.0,163509.0,168268.0,174773.0,182881.0,184196.0,184087.0,182679.0,185623.0,185527.0,194144.0,198684.0,210825.0,202239.0,211984.0,206335.0,213388.0,202985.0,207806.0,212097.0,219439.0,222524.0,224192.0,227734.0,227036.0,231389.0,238807.0,239878.0,247093.0,245288.0,245640.0,234980.0,226073.0
394477,628,"Clinton, IA",msa,IA,99394.0,99837.0,109960.0,111379.0,102923.0,98404.0,103615.0,114123.0,108917.0,106051.0,107930.0,113942.0,116562.0,115651.0,117853.0,116588.0,123902.0,115432.0,111210.0,98961.0,110022.0,110797.0,112871.0,110933.0,116047.0,121810.0,123722.0,117527.0,118014.0,121489.0,116832.0,107382.0,100836.0,107400.0,115671.0,122820.0,127859.0,133405.0,131170.0,136855.0,133033.0,135388.0,139567.0,140666.0,139365.0,138717.0,139977.0,158328.0,151827.0,149167.0,143953.0,150301.0
395017,629,"Red Wing, MN",msa,MN,201979.0,197496.0,193788.0,185103.0,186937.0,178808.0,180893.0,182946.0,197031.0,201036.0,207136.0,209243.0,210721.0,216110.0,213187.0,215181.0,204101.0,210403.0,216591.0,214759.0,208421.0,205777.0,215284.0,214079.0,212779.0,220516.0,230352.0,239460.0,238378.0,237007.0,235242.0,232252.0,234661.0,234264.0,242527.0,250402.0,253236.0,254059.0,254736.0,262174.0,268621.0,270422.0,267173.0,260503.0,254801.0,262304.0,270383.0,271109.0,268241.0,265319.0,274967.0,282435.0
394987,630,"Plymouth, IN",msa,IN,,,,,,,,,,,,,,,,,,,,164159.0,150635.0,151465.0,149147.0,150288.0,151239.0,168914.0,177553.0,186814.0,176291.0,173598.0,161751.0,160826.0,172338.0,179068.0,191663.0,179390.0,190684.0,187065.0,189100.0,185261.0,200497.0,194726.0,188072.0,192754.0,200982.0,209325.0,199748.0,206320.0,210103.0,199523.0,180546.0,165845.0
394500,632,"Cornelia, GA",msa,GA,164558.0,167976.0,164062.0,164866.0,160488.0,167111.0,169065.0,172015.0,171308.0,171284.0,185907.0,190866.0,190862.0,178461.0,184130.0,184695.0,186241.0,178540.0,177525.0,189281.0,190025.0,207883.0,199075.0,206161.0,200120.0,206258.0,215667.0,225173.0,240381.0,232141.0,217482.0,204493.0,217809.0,224810.0,233023.0,237901.0,240024.0,249763.0,252857.0,257304.0,247353.0,224497.0,229310.0,233710.0,256575.0,249949.0,256529.0,252134.0,261048.0,266238.0,261563.0,263648.0
753904,634,"Marion, NC",msa,NC,,,,,,,143014.0,132281.0,144320.0,161582.0,170465.0,165228.0,162257.0,166013.0,175111.0,188765.0,183433.0,152279.0,135084.0,124850.0,138763.0,147310.0,161425.0,182672.0,197156.0,216464.0,223795.0,228582.0,229334.0,212121.0,217354.0,196960.0,202913.0,192322.0,207757.0,206850.0,198727.0,199849.0,214423.0,214564.0,203659.0,226140.0,243050.0,275985.0,266846.0,264041.0,247295.0,256637.0,253574.0,240569.0,211759.0,214892.0
