".Columbus, OH Metro Area","9,975","4,967","25,733","20,766","4,950","2,463","2,487","12,091","6,461","32,375","25,914","5,513","2,650","2,863"
".Corpus Christi, TX Metro Area",916,702,"5,090","4,388",141,154,-13,845,807,"6,290","5,483",-43,155,-198
".Corvallis, OR Metro Area",850,-73,634,707,916,118,798,833,-65,814,879,892,123,769
".Crestview-Fort Walton Beach-Destin, FL Metro Area","5,660",260,"3,432","3,172","5,441",81,"5,360","6,351",193,"4,219","4,026","6,198",85,"6,113"
".Cumberland, MD-WV Metro Area",-238,-625,866,"1,491",374,14,360,-458,-771,"1,086","1,857",308,14,294
".Dallas-Fort Worth-Arlington, TX Metro Area","97,290","35,344","93,937","58,593","62,921","8,602","54,319","122,228","44,306","116,898","72,592","78,337","9,197","69,140"
"..Dallas-Plano-Irving, TX Metro Division","68,795","25,786","63,425","37,639","44,317","6,790","37,527","87,414","32,469","78,911","46,442","55,829","7,220","48,609"
"..Fort Worth-Arlington-Grapevine, TX Metro Division","28,495","9,558","30,512","20,954","18,604","1,812","16,792","34,814","11,837","37,987","26,150","22,508","1,977","20,531"
".Dalton, GA Metro Area",134,154,"1,639","1,485",-53,-19,-34,-38,155,"2,038","1,883",-231,-18,-213
".Danville, IL Metro Area",-788,-230,863,"1,093",-559,12,-571,"-1,093",-335,"1,050","1,385",-757,12,-769
".Daphne-Fairhope-Foley, AL Metro Area","6,154",-607,"2,260","2,867","6,843",63,"6,780","7,527",-741,"2,787","3,528","8,358",62,"8,296"
".Davenport-Moline-Rock Island, IA-IL Metro Area","-1,958",-381,"4,134","4,515","-1,622",213,"-1,835","-2,756",-477,"5,201","5,678","-2,314",213,"-2,527"
".Dayton-Kettering, OH Metro Area",41,"-1,591","8,988","10,579","1,489",629,860,-533,"-2,099","11,175","13,274","1,451",652,799
".Decatur, AL Metro Area",359,-391,"1,740","2,131",733,8,725,264,-567,"2,142","2,709",818,7,811
".Decatur, IL Metro Area","-1,215",-239,"1,191","1,430",-976,26,"-1,002","-1,566",-329,"1,476","1,805","-1,232",26,"-1,258"
".Deltona-Daytona Beach-Ormond Beach, FL Metro Area","14,475","-4,701","5,446","10,147","19,414",328,"19,086","16,423","-6,003","6,789","12,792","22,733",342,"22,391"
".Denver-Aurora-Lakewood, CO Metro Area","3,277","8,531","32,211","23,680","-5,448","1,059","-6,507","8,745","10,853","40,265","29,412","-2,438","1,126","-3,564"
".Des Moines-West Des Moines, IA Metro Area","8,303","2,169","8,677","6,508","6,096",670,"5,426","9,680","2,733","10,889","8,156","6,888",715,"6,173"
".Detroit-Warren-Dearborn, MI Metro Area","-20,543","-4,466","46,383","50,849","-16,682","2,159","-18,841","-26,836","-5,231","58,334","63,565","-22,170","2,390","-24,560"
"..Detroit-Dearborn-Livonia, MI Metro Division","-15,409",-383,"21,470","21,853","-15,156",701,"-15,857","-18,745",-436,"26,936","27,372","-18,459",788,"-19,247"
"..Warren-Troy-Farmington Hills, MI Metro Division","-5,134","-4,083","24,913","28,996","-1,526","1,458","-2,984","-8,091","-4,795","31,398","36,193","-3,711","1,602","-5,313"
".Dothan, AL Metro Area",586,-341,"1,719","2,060",912,18,894,611,-458,"2,120","2,578","1,060",18,"1,042"
".Dover, DE Metro Area","1,893",-70,"2,049","2,119","1,953",95,"1,858","2,298",-103,"2,495","2,598","2,394",100,"2,294"
".Dubuque, IA Metro Area",-511,12,"1,112","1,100",-530,71,-601,-548,27,"1,368","1,341",-579,73,-652
".Duluth, MN-WI Metro Area",-498,-965,"2,627","3,592",422,51,371,-858,"-1,287","3,315","4,602",401,50,351
".Durham-Chapel Hill, NC Metro Area","2,820",693,"6,661","5,968","2,095",881,"1,214","4,109",902,"8,305","7,403","3,173",930,"2,243"
".East Stroudsburg, PA Metro Area","1,025",-518,"1,427","1,945","1,545",72,"1,473",946,-638,"1,772","2,410","1,592",70,"1,522"
".Eau Claire, WI Metro Area","1,220",33,"1,743","1,710","1,166",50,"1,116","1,310",75,"2,179","2,104","1,217",51,"1,166"
".El Centro, CA Metro Area",362,722,"2,289","1,567",-404,-60,-344,149,817,"2,851","2,034",-722,-48,-674
".Elizabethtown-Fort Knox, KY Metro Area","1,196",87,"1,760","1,673","1,100",9,"1,091","1,194",74,"2,220","2,146","1,111",9,"1,102"
".Elkhart-Goshen, IN Metro Area",79,928,"2,927","1,999",-880,90,-970,-126,"1,106","3,657","2,551","-1,269",94,"-1,363"
".Elmira, NY Metro Area",-837,-354,839,"1,193",-491,11,-502,"-1,103",-454,"1,058","1,512",-654,11,-665
